idTrips,idVehicles,startDateTime,endDateTime,startLongitude,endLongitude,startLatitude,endLatitude
30,10,"2013-12-28 17:11:47","2013-12-28 17:34:00",-83.11790612,-83.07340135,42.50179152,42.60895946
31,2,"2014-01-02 13:20:56","2014-01-02 17:50:59",0,0,0,0
31,7,"2013-12-30 10:13:09","2013-12-30 12:59:56",-83.18798535,-83.18944297,42.68109924,42.68208598
31,9,"2013-12-30 17:05:24","2013-12-30 17:24:44",-83.21621135808527,-83.29608242958784,42.64580327086151,42.606397261843085
31,10,"2013-12-28 21:10:35","2013-12-28 21:19:21",-83.07158393,-83.17081254,42.60821803,42.64724696
32,2,"2014-01-02 18:39:07","2014-01-02 18:45:05",0,0,0,0
32,7,"2013-12-31 09:09:25","2013-12-31 09:12:44",-83.18802729,-83.19041471,42.68133116,42.69451889
32,9,"2013-12-30 17:49:04","2013-12-30 18:27:30",-83.29332788474858,-83.7937679886818,42.605433468706906,42.506880476139486
32,10,"2013-12-28 23:24:28","2013-12-28 23:42:10",-83.17096232,-83.12345286,42.6468915,42.49822013
33,2,"2014-01-02 19:08:29","2014-01-02 19:15:18",0,0,0,0
33,7,"2013-12-31 09:17:27","2013-12-31 12:14:38",-83.19338943,-83.18877807,42.69426168,42.68138337
33,9,"2013-12-31 11:46:43","2013-12-31 13:05:47",-83.79483299329877,-83.11324764043093,42.50640073791146,42.532205767929554
33,10,"2013-12-29 17:50:45","2013-12-29 18:05:35",-83.12226394,-83.13290277,42.49839358,42.546138
34,2,"2014-01-03 13:27:45","2014-01-03 13:30:44",0,0,0,0
34,7,"2014-01-02 09:48:47","2014-01-02 09:57:19",-83.18794405,-83.21690618,42.68105215,42.64650653
34,9,"2013-12-31 15:08:24","2013-12-31 15:22:28",-83.11309835873544,-83.10988415032625,42.533031050115824,42.56402540020645
34,10,"2013-12-29 19:35:36","2013-12-29 19:42:16",-83.13459324,-83.123404,42.5391858,42.49810889
35,2,"2014-01-03 13:32:50","2014-01-03 14:53:14",0,0,0,0
35,7,"2014-01-03 00:53:14","2014-01-03 00:59:37",-83.21589221,-83.18945846,42.64556116,42.68203632
35,9,"2013-12-31 15:36:29","2013-12-31 15:53:11",-83.10919172130525,-83.19981224834919,42.56474590860307,42.4770075827837
36,2,"2014-01-03 16:01:13","2014-01-03 17:29:33",0,0,0,0
36,7,"2014-01-03 08:06:38","2014-01-03 08:14:55",-83.18904799,-83.21542337,42.68166529,42.64663228
36,9,"2014-01-03 08:44:50","2014-01-03 08:58:44",-83.28073365613818,-83.21679398417473,42.581153023056686,42.64629767742008
37,2,"2014-01-03 18:43:03","2014-01-03 19:13:20",0,0,0,0
37,7,"2014-01-03 17:25:54","2014-01-03 17:31:32",-83.19307764,-83.18918434,42.6584382,42.68204265
37,9,"2014-01-03 15:12:07","2014-01-03 15:34:57",-83.1303621456027,-83.2143571972847,42.636208296753466,42.64615199994296
38,2,"2014-01-03 21:02:14","2014-01-03 21:46:57",0,0,0,0
38,7,"2014-01-04 10:03:12","2014-01-04 13:02:15",-83.19682075,-83.19065646,42.680567,42.68220433
38,9,"2014-01-03 17:19:11","2014-01-03 18:39:07",-83.20715479552746,-83.79495989531279,42.64656112063676,42.50634592026472
39,2,"2014-01-04 12:48:51","2014-01-04 13:36:40",0,0,0,0
39,7,"2014-01-04 17:12:32","2014-01-04 18:07:38",-83.18807547,-83.18897385,42.68087247,42.6819072
39,9,"2014-01-04 09:09:51","2014-01-04 09:24:07",-83.7934706825763,-83.61233901232481,42.507137674838305,42.51544447615743
40,2,"2014-01-04 13:43:03","2014-01-04 14:00:29",0,0,0,0
40,7,"2014-01-04 20:52:26","2014-01-05 00:51:22",-83.19132657,-83.19024108,42.68071823,42.68201796
40,9,"2014-01-04 10:21:07","2014-01-04 10:39:41",-83.6117641814053,-83.7866769824177,42.51473067328334,42.54039388149977
41,2,"2014-01-04 15:12:46","2014-01-04 15:56:03",0,0,0,0
41,7,"2014-01-06 07:47:04","2014-01-06 07:55:15",-83.18882526,-83.21743521,42.68142315,42.6464618
41,9,"2014-01-04 10:55:21","2014-01-04 11:03:13",-83.78714393824339,-83.7611145246774,42.539678611792624,42.50347432214767
42,2,"2014-01-04 16:32:37","2014-01-04 17:12:33",0,0,0,0
42,9,"2014-01-04 11:39:48","2014-01-04 11:45:00",-83.76164744608104,-83.79481438547373,42.504215659573674,42.50614856835455
43,2,"2014-01-04 18:23:30","2014-01-04 18:48:55",0,0,0,0
